Country,Country_Code,Region,Year,GDP_Per_Capita_USD,LR_Predicted,Type
Brazil,BR,South America,2000,4185.99,4257.63,Actual
Brazil,BR,South America,2001,4334.52,4378.64,Actual
Brazil,BR,South America,2002,4435.81,4499.66,Actual
Brazil,BR,South America,2003,4541.33,4620.67,Actual
Brazil,BR,South America,2004,4719.85,4741.69,Actual
Brazil,BR,South America,2005,4938.66,4862.71,Actual
Brazil,BR,South America,2006,5165.58,4983.72,Actual
Brazil,BR,South America,2007,5380.12,5104.74,Actual
Brazil,BR,South America,2008,5573.0,5225.76,Actual
Brazil,BR,South America,2009,5193.13,5346.77,Actual
Brazil,BR,South America,2010,5276.53,5467.79,Actual
Brazil,BR,South America,2011,5521.47,5588.8,Actual
Brazil,BR,South America,2012,5711.32,5709.82,Actual
Brazil,BR,South America,2013,5767.17,5830.84,Actual
Brazil,BR,South America,2014,5845.49,5951.85,Actual
Brazil,BR,South America,2015,6060.24,6072.87,Actual
Brazil,BR,South America,2016,6118.47,6193.89,Actual
Brazil,BR,South America,2017,6216.52,6314.9,Actual
Brazil,BR,South America,2018,6415.49,6435.92,Actual
Brazil,BR,South America,2019,6658.68,6556.93,Actual
Brazil,BR,South America,2020,6624.12,6677.95,Actual
Brazil,BR,South America,2021,6747.6,6798.97,Actual
Brazil,BR,South America,2022,7009.01,6919.98,Actual
Brazil,BR,South America,2023,7143.41,7041.0,Actual
Brazil,BR,South America,2024,,7162.02,Forecast
Brazil,BR,South America,2025,,7283.03,Forecast
Brazil,BR,South America,2026,,7404.05,Forecast
Brazil,BR,South America,2027,,7525.06,Forecast
Brazil,BR,South America,2028,,7646.08,Forecast
China,CN,Asia,2000,1632.13,705.65,Actual
China,CN,Asia,2001,1799.31,1052.59,Actual
China,CN,Asia,2002,1937.69,1399.53,Actual
China,CN,Asia,2003,2113.28,1746.47,Actual
China,CN,Asia,2004,2311.99,2093.42,Actual
China,CN,Asia,2005,2474.35,2440.36,Actual
China,CN,Asia,2006,2708.65,2787.3,Actual
China,CN,Asia,2007,2913.52,3134.24,Actual
China,CN,Asia,2008,3120.48,3481.18,Actual
China,CN,Asia,2009,3185.41,3828.12,Actual
China,CN,Asia,2010,3536.76,4175.07,Actual
China,CN,Asia,2011,3902.63,4522.01,Actual
China,CN,Asia,2012,4220.62,4868.95,Actual
China,CN,Asia,2013,4526.44,5215.89,Actual
China,CN,Asia,2014,4970.17,5562.83,Actual
China,CN,Asia,2015,5404.52,5909.77,Actual
China,CN,Asia,2016,5801.87,6256.71,Actual
China,CN,Asia,2017,6322.81,6603.66,Actual
China,CN,Asia,2018,6763.51,6950.6,Actual
China,CN,Asia,2019,7492.93,7297.54,Actual
China,CN,Asia,2020,7764.95,7644.48,Actual
China,CN,Asia,2021,8518.82,7991.42,Actual
China,CN,Asia,2022,9215.58,8338.36,Actual
China,CN,Asia,2023,10053.04,8685.31,Actual
China,CN,Asia,2024,,9032.25,Forecast
China,CN,Asia,2025,,9379.19,Forecast
China,CN,Asia,2026,,9726.13,Forecast
China,CN,Asia,2027,,10073.07,Forecast
China,CN,Asia,2028,,10420.01,Forecast
France,FR,Europe,2000,26714.53,26834.64,Actual
France,FR,Europe,2001,27544.86,27059.43,Actual
France,FR,Europe,2002,27754.5,27284.23,Actual
France,FR,Europe,2003,27731.41,27509.03,Actual
